id	domain	url	encoding	url_condition	is_header	title_path	title_path_2	content_path	content_path2
44	hamusoku.com	http://hamusoku.com/archives/9990365.html	utf8	\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/strong[1]/span	//*[@id='article-contents']/span[2]/span/b
45	hamusoku.com	http://hamusoku.com/archives/9990116.html	utf8	\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/strong[1]/span	//*[@id='article-contents']/span[2]/span/b
46	blog.livedoor.jp	http://blog.livedoor.jp/kinisoku/archives/5023659.html	utf8	\\/kinisoku\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//div[@id='article-contents']/div[2]	
47	blog.livedoor.jp	http://blog.livedoor.jp/kinisoku/archives/5023614.html	utf8	\\/kinisoku\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//div[@id='article-contents']/div[2]	
48	blog.livedoor.jp	http://blog.livedoor.jp/kinisoku/archives/5023256.html	utf8	\\/kinisoku\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//div[@id='article-contents']/div[2]	
49	blog.livedoor.jp	http://blog.livedoor.jp/nanjstu/archives/54854720.html	utf8	\\/nanjstu\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/div[3]	
50	blog.livedoor.jp	http://blog.livedoor.jp/nwknews/archives/5452200.html	utf8	\\/nwknews\\/archive\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/div[2]	
51	blog.livedoor.jp	http://blog.livedoor.jp/nwknews/archives/5452282.html	utf8	\\/nwknews\\/archive\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/div[2]	
52	blog.livedoor.jp	http://blog.livedoor.jp/dqnplus/archives/1987276.html	utf8	\\/dqnplus\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/div[1]	
53	blog.livedoor.jp	http://blog.livedoor.jp/dqnplus/archives/1987188.html	utf8	\\/dqnplus\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//*[@id='article-contents']/div[1]	
54	jin115.com	http://jin115.com/archives/52247299.html	utf8	\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//blockquote	
55	jin115.com	http://jin115.com/archives/52247320.html	utf8	\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//blockquote	
57	blog.esuteru.com	http://blog.esuteru.com/archives/9215995.html	utf8	\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//blockquote/span[1]/span[1]/b[1]	
58	togetter.com	https://togetter.com/li/1314850	utf8	\\/li\\/\\d+	0	//a[@class='info_title']		//span[@class='md-h-2']	
60	cookpad.com	https://cookpad.com/recipe/307394	utf8	\\/recipe\\/\\d+	0	//div[@class='recipe_title_wrapper']/div[@class='recipe_title' and 1]		//div[@class='description']	
61	anond.hatelabo.jp	https://anond.hatelabo.jp/20180909184429	utf8	\\/\\d+	0	//h3		//div[@class='section']/p	
64	syosetu.org	https://syosetu.org/	utf8	syosetu.org\\/	0	//h2		//p	
66	item.rakuten.co.jp	https://item.rakuten.co.jp/1x1gift/ch1275022100015/	utf8	\\/.*	0	//div[@id='itemName']/h1[1]		//div[@id='itemDescription']/div[@class='blockWrap' and 1]	
67	item.rakuten.co.jp	https://item.rakuten.co.jp/cosmediva/9319944004366/	utf8	\\/.*	0	//div[@id='itemName']/h1[1]		//div[@id='itemDescription']/div[@class='blockWrap' and 1]	
68	s.tabelog.com	https://tabelog.com/aichi/A2301/A230103/23000502/	utf8	\\/[a-z]+\\/.*	0	//span[@class='rd-header__rst-name-main']		//div[@id='itemDescription']/div[@class='blockWrap' and 1]	
